"X","t","pval","FC","log2FC"
"ZNF761",6.5955298252407,5.37302143453188e-10,1.2917281674384,0.369302499791774
"ABCB9",11.3497874227573,5.53850036592739e-22,2.00136887507406,1.00098709687592
"MPV17L2",17.8404362297058,8.42782791994333e-40,1.77857186382307,0.830719268179111
"SMARCA5",1.04035281062746,0.299452986383427,1.07723024595202,0.10732664281742
"TDRD10",-33.4079944223117,5.45737239870473e-85,0.235173424413401,-2.08820305611288
"CCNB1",34.2403320416275,2.74705521732574e-76,5.66036101373719,2.50089407003928
"S100A13",2.02754114239267,0.0440169639385864,1.25523613124443,0.327958785156808
"SH3YL1",-0.787685568200951,0.432340830931466,0.921347119827761,-0.118183297196505
"SLA",4.5052193314346,1.34569802547868e-05,1.45729444840935,0.543292405433601
"ARSF",-3.54162364646952,0.000514976428505597,2.11267644208498,1.07907183440838
"PPFIA4",7.08109193728865,5.23981332256551e-11,2.21713685431668,1.14869782431002
"NAGS",3.52682641315472,0.000575060512251186,1.6539693905753,0.725932535310977
"TCL1B",16.0074840618802,1.68576195711658e-47,56.5650232453259,5.82183833896195
"DEFA1B",-4.86648686805606,3.38827874166911e-06,0.78282229326376,-0.353243253175192
"RNF34",14.9493295112037,2.43333415764334e-33,1.34450574472207,0.427075919483251
"HIST1H2BO",29.7632043645071,1.18910691223482e-89,18.7850244744938,4.23151109051612
"MYO5B",5.56256947975659,1.6732287009442e-07,1.51499558555503,0.599313589931135
"ARMC8",-9.13827233953158,1.69703397646124e-16,0.858245864477953,-0.220537094422306
"JSRP1",2.85595500715199,0.00494271897535461,0.949137408973771,-0.075311129986028
"FAM181A-AS1",-5.71584473037108,8.41525341172031e-08,0.248540979470591,-2.00844435173239
"BTN2A2",1.29105385398399,0.198456071660411,1.13298733578076,0.180131735202197
"YWHAQ",2.11657353601511,0.0356335179453311,1.11093141039369,0.151769746574389
"TYW1B",-2.10347714592445,0.0371963722154293,0.943871166473521,-0.0833381422643869
"JAGN1",3.3402819607385,0.00100148910563512,1.13100092422589,0.177600108262801
"MTX2",15.7608227183757,1.58081936636826e-34,1.39326392755986,0.478468575178886
"NFATC2IP",8.05811621520051,7.87991979672666e-14,1.20987791313686,0.274861474773908
"HOXC8",-4.51225430208574,1.42162681679365e-05,0.689886132927706,-0.535569833020858
"FAM83D",28.7290485049198,9.33051076736909e-64,10.864758575255,3.44158421177636
"CIB2",-12.3138251026075,4.79975656168869e-27,0.767931322476451,-0.380950801067232
"TALDO1",6.707325796469,4.65189194548068e-10,1.32185762745516,0.402566797703801
"CELA3B",3.11134353245344,0.00195358273215504,16.472116953546,4.04195407327406
"TMEM132D",3.82924394234291,0.000176482648652165,2.28638599998509,1.19306898765294
"ACKR4",-14.1653356092435,1.98150025496309e-28,0.307855381922212,-1.69967530494532
"XPO4",-5.78516639300711,4.77506826251078e-08,0.757723265005625,-0.400257050054256
"POLG2",5.70675669499683,5.38275470925805e-08,1.25093361695815,0.323005232328394
"ZFP3",-9.47502504144216,1.80546745377829e-17,0.801813444975748,-0.318661485783302
"TOPAZ1",1.29733642160487,0.196057258212199,3.84986505477098,1.94480787743749
"ZIC2",6.43864873455039,5.92634259091635e-10,7.54361524289947,2.9152560941842
"CMTM3",0.400174966629076,0.689413357808212,1.13910380293267,0.187899221280084
"TMEM56",-7.59105524623606,2.27308119762252e-12,0.688435162730601,-0.538607308082295
"GPR50",-6.72196418306739,7.04853963826326e-10,0.271716805742714,-1.87982429557017
"UBC",-2.58692322832777,0.0107262080214746,0.940209904370007,-0.0889452166209432
"PCED1A",3.3951276574683,0.000823970514372622,1.23949911038128,0.309757235967621
"RPS14",-7.06343956933003,5.82409084632444e-11,0.801327965960265,-0.319535267952144
"ZNF765",6.48046032987401,7.81847720920498e-10,1.2960454913953,0.374116357928224
"CAPNS2",-4.94161810199037,2.01931555151069e-06,3.23294141530779,1.69284736437377
"PARD6G-AS1",1.67438709147643,0.0961330292332447,1.42176536789842,0.507683398502221
"RIC8B",-9.88041134694814,6.90850248691807e-19,0.837000696344909,-0.256699271857348
"SLC10A3",6.6752723399138,2.36660406877354e-10,1.2546527193877,0.327288089793185
"SLC6A18",0.0419171614192404,0.966623758002271,1.11775557662322,0.16060474368561
"ORAI2",16.8274055673112,1.19389112553803e-35,1.96634493355391,0.97551641948011
"PMFBP1",-0.581140990621316,0.561995014096559,1.15131041427472,0.203276862798859
"WFDC3",6.54297998549388,7.591161282906e-10,2.23188055795897,1.15825982149904
"LOC283332",2.67177087437378,0.0081312030308344,3.51983265021539,1.81550683782742
"SERPINE3",-2.56849301557485,0.0113440423715311,0.728821518825682,-0.456362538814383
"IQSEC3",-22.2106656360838,9.55207784365985e-49,0.208127149544078,-2.26446292242446
"NFS1",12.4218535557941,7.81018686646908e-29,1.34990782300586,0.432860897770519
"NAMPT",-9.75464998859406,2.94649925003982e-18,0.790463229882902,-0.339229740841849
"LYPLA1",14.5897904680302,1.18196945219469e-31,1.92552760680817,0.945253807590741
"CXorf49B",-0.422921259718739,0.672815838019904,13.3167372371066,3.73516874272777
"C1QB",0.17164334381048,0.863978015576041,1.01514404577117,0.0216844558586657
"MAZ",28.5792331241356,9.33785043350701e-62,2.68692230754176,1.42595460637352
"CHD6",-4.62456177138889,7.7989819006868e-06,0.882823073278619,-0.179803758802191
"CHPF2",17.3198933645671,1.61640282411836e-37,1.76503007358451,0.81969276516309
"GPAT2",-10.1373633373432,2.80685859997235e-19,0.945466377465992,-0.080901940705521
"P4HTM",12.5521176425375,1.78877516667028e-27,1.99410237768865,0.99573947994282
"KLF17",4.88480612782063,2.60833376456907e-06,3.0369469894687,1.60262172618792
"C12orf42",3.0081244127977,0.00302118304252197,2.4205415583198,1.27532986406747
"RAB8B",-13.4992272962703,7.95306548579423e-28,0.637998510215188,-0.648375039718016
"CANT1",20.4467192804979,3.49916377145292e-47,2.32772385515331,1.21891991716749
"GRID1",-20.8611957091121,2.83981094206477e-53,0.473299464671227,-1.07917480458079
"NUB1",-3.22402520591379,0.00141071332341258,0.992179797510015,-0.0113265131141837
"LIN28B",7.05854529077546,6.02166058151536e-12,25.0441751689917,4.64640319204113
"LSP1",-1.84876823595134,0.0663680299488629,1.01040307996151,0.0149309419404249
"FOXD4",14.5201008373422,9.75057640485313e-31,3.17185034133679,1.66532470139975
"ZNF292",-9.01613727252415,1.00462141976428e-15,0.701795092423781,-0.510878235720422
"ZMYND12",-2.7268429101482,0.00679217623923365,1.1644487567596,0.219647153077813
"TNFSF9",1.36267369888863,0.17533729827094,1.11002992028957,0.150598564207477
"TRAP1",10.027127415874,2.09743617273378e-18,1.45386029484126,0.539888643656946
