gene,drug_PRL
200819_s_at,6841
200820_at,5566
200821_at,21966
200822_x_at,5829
200823_x_at,10579
200824_at,16164
200825_s_at,15368
200826_at,6787
200827_at,10398
200828_s_at,12678
200829_x_at,7418
200830_at,11402
200831_s_at,4251
200832_s_at,14903
200833_s_at,21169
200834_s_at,11461
200835_s_at,8631
200836_s_at,13693
200837_at,7658
200838_at,18860
200839_s_at,15258
200840_at,13018
200841_s_at,504
200842_s_at,6456
200843_s_at,10959
200844_s_at,3333
200845_s_at,16701
200846_s_at,10930
200847_s_at,16839
200848_at,12319
200849_s_at,14581
200850_s_at,17416
200851_s_at,17567
200852_x_at,16284
200853_at,11884
200854_at,10580
200855_at,21025
200856_x_at,13557
200857_s_at,11004
200858_s_at,17952
200859_x_at,18306
200860_s_at,19266
200861_at,10854
200862_at,10436
200863_s_at,6329
200864_s_at,19311
200865_at,2101
200866_s_at,14516
200867_at,14687
200868_s_at,1022
200869_at,14494
200870_at,4618
200871_s_at,5122
200872_at,1317
200873_s_at,15562
200874_s_at,12402
200875_s_at,12464
200876_s_at,1016
200877_at,12995
200878_at,11915
200879_s_at,13274
200880_at,18979
200881_s_at,15290
200882_s_at,16875
200883_at,15925
200884_at,16372
200885_at,10153
200886_s_at,13763
200887_s_at,17864
200888_s_at,14906
200889_s_at,18545
200890_s_at,18097
200891_s_at,11766
200892_s_at,18223
200893_at,16307
200894_s_at,14212
200895_s_at,21816
200896_x_at,6262
200897_s_at,19407
200898_s_at,10614
200899_s_at,18844
200900_s_at,15128
200901_s_at,11723
200902_at,16512
200903_s_at,7093
200904_at,20117
200905_x_at,14396
200906_s_at,20437
200907_s_at,14869
200908_s_at,11281
200909_s_at,13265
200910_at,16276
200911_s_at,20929
200912_s_at,13264
200913_at,20868
200914_x_at,21213
200915_x_at,17949
200916_at,11566
200917_s_at,974
200918_s_at,9323
200919_at,18000
200920_s_at,16901
200921_s_at,18392
200922_at,6420
200923_at,19462
200924_s_at,18339
200925_at,593
200926_at,5286
200927_s_at,21194
200928_s_at,17935
200929_at,3581
200930_s_at,529
200931_s_at,8829
200932_s_at,13860
200933_x_at,5818
200934_at,20602
200935_at,17049
200936_at,6876
200937_s_at,8252
200938_s_at,5872
200939_s_at,8674
200940_s_at,21445
200941_at,19779
200942_s_at,14827
200943_at,9126
200944_s_at,4719
200945_s_at,21454
200946_x_at,13059
200947_s_at,22093
200948_at,12110
200949_x_at,4646
200950_at,4383
200951_s_at,1783
200952_s_at,6837
200953_s_at,11143
200954_at,627
200955_at,16880
200956_s_at,13061
200957_s_at,13023
200958_s_at,18848
200959_at,17650
200960_x_at,10587
